CIPCODE,AWLEVEL,YEAR
9.0501,3,2000
10.0199,3,2000
11.0101,3,2000
13.9999,3,2000
15.0303,3,2000
15.0401,3,2000
15.0599,3,2000
15.0611,3,2000
15.0699,3,2000
15.0701,3,2000
15.1001,3,2000
20.0399,3,2000
22.0103,3,2000
29.0101,3,2000
31.9999,3,2000
40.0401,3,2000
41.9999,3,2000
43.0104,3,2000
43.0109,3,2000
43.0203,3,2000
44.0701,3,2000
45.0899,3,2000
47.0402,3,2000
47.0607,3,2000
47.0608,3,2000
47.0609,3,2000
47.0699,3,2000
48.0299,3,2000
49.0101,3,2000
49.0199,3,2000
49.9999,3,2000
50.0699,3,2000
50.0901,3,2000
51.0601,3,2000
51.0603,3,2000
51.0799,3,2000
51.0805,3,2000
51.0806,3,2000
51.0901,3,2000
51.0905,3,2000
51.0907,3,2000
51.0909,3,2000
51.1002,3,2000
51.1004,3,2000
51.1313,3,2000
51.1502,3,2000
51.1802,3,2000
51.2202,3,2000
51.2206,3,2000
51.2299,3,2000
51.2702,3,2000
51.9999,3,2000
52.0202,3,2000
52.0203,3,2000
52.0204,3,2000
52.0302,3,2000
52.0902,3,2000
52.1001,3,2000
52.1201,3,2000
99.0,3,2000
2.0201,5,2000
2.0301,5,2000
2.0499,5,2000
2.9999,5,2000
3.0499,5,2000
4.0301,5,2000
10.0104,5,2000
11.0101,5,2000
13.1001,5,2000
13.1012,5,2000
13.1202,5,2000
13.1204,5,2000
13.1205,5,2000
13.1302,5,2000
13.1312,5,2000
13.1314,5,2000
14.0801,5,2000
14.1001,5,2000
14.1901,5,2000
15.0201,5,2000
15.0399,5,2000
15.0603,5,2000
15.0899,5,2000
19.0101,5,2000
23.0101,5,2000
26.0101,5,2000
27.0101,5,2000
40.0501,5,2000
40.0801,5,2000
42.0101,5,2000
44.0701,5,2000
45.0801,5,2000
45.1001,5,2000
45.1101,5,2000
50.0402,5,2000
52.0101,5,2000
52.0201,5,2000
52.0204,5,2000
52.0301,5,2000
52.0801,5,2000
99.0,5,2000
1.0101,7,2000
1.0102,7,2000
2.0301,7,2000
2.0499,7,2000
4.0301,7,2000
4.9999,7,2000
11.0101,7,2000
13.1001,7,2000
13.1202,7,2000
13.1204,7,2000
13.1205,7,2000
13.1302,7,2000
13.1312,7,2000
13.1314,7,2000
15.0603,7,2000
19.0101,7,2000
26.0101,7,2000
40.0801,7,2000
42.0201,7,2000
42.0601,7,2000
42.0901,7,2000
42.1701,7,2000
44.0701,7,2000
51.0203,7,2000
52.0201,7,2000
52.0601,7,2000
99.0,7,2000
13.0401,8,2000
13.1202,8,2000
13.1204,8,2000
13.1205,8,2000
42.1701,8,2000
99.0,8,2000
2.0301,9,2000
2.9999,9,2000
40.0899,9,2000
99.0,9,2000
51.0904,1,2000
99.0,1,2000
51.0904,2,2000
99.0,2,2000
9.0101,5,2000
11.0101,5,2000
13.0101,5,2000
13.1001,5,2000
13.1202,5,2000
13.1204,5,2000
13.1205,5,2000
13.1302,5,2000
13.1307,5,2000
13.1312,5,2000
13.1314,5,2000
14.0801,5,2000
14.1001,5,2000
14.1801,5,2000
14.1901,5,2000
16.0102,5,2000
16.0501,5,2000
16.0901,5,2000
16.0905,5,2000
23.0101,5,2000
24.0101,5,2000
26.0101,5,2000
27.0101,5,2000
30.0101,5,2000
38.0101,5,2000
40.0101,5,2000
40.0501,5,2000
40.0601,5,2000
40.0801,5,2000
42.0101,5,2000
43.0199,5,2000
44.0701,5,2000
